"SKU","Balance","InOrder"

"96491","35","0"

"96493","36","4"

"96494","18","4"

"96495","10","1"

"96500","21","2"

"96513","22","3"

"96517","68","2"

"96518","7","3"

"96519","203","2"

"96587","22","0"

"96592","26","0"

"96596","55","3"

"966","20","5"

"96600","69","2"

"96601","64","13"

"96605","30","2"

"96617","13","0"

"96626","70","0"

"96632","29","0"

"96635","114","2"

"96637","27","0"

"96641","38","0"

"96664","18","0"

"96673","453","81"

"96676","5","2"

"96678","11","0"

"96682","5","1"

"74109","4","0"

"7411","4","0"

"74111","2","0"

"7412","3","0"

"7413","4","0"
"7414","2","1"

"74156","12","13"

"74168","63","33"

"7418","1","0"

"74202","128","20"

"74204","2","0"

"74207","92","8"

"74212","6","2"

"74218","2","0"

"7439","26","9"

"74409","2","0"

"74412","7","0"

"74413","7","0"

"74420","4","0"

"74442","5","0"

"74449","3","1"

"74515","48","8"

"74562","11","1"

"74563","15","0"

"74567","8","0"

"74570","6","0"

"74577","1","0"

"74578","7","0"

"74598","11","0"

"74707","3","0"

"74708","4","0"

"74709","9","3"

"74712","6","2"

"74713","1","0"

"74714","13","2"

"74720","29","2"

"74721","11","2"

"7506","64","17"

"75073","3","126"

"7510","15","0"

"75100","81","31"

"7519","3","0"

"7520","7","1"

"7521","19","0"

"75258","4","0"

"75300","12","1"

"75325","10","0"

"75326","29","6"

"7535","14","0"

"7536","9","0"

"75363","23","3"

"75377","4","0"

"75378","2","0"

"75379","3","0"

"75382","2","0"

"75387","3","0"

"7539","3","0"

"75427","29","1"

"75453","36","2"

"75528","1","0"
"75551","15","0"

"75556","9","0"

"75562","1","0"

"75574","16","3"

"75582","16","2"

"75583","1","1"

"75586","1","2"

"75587","5","0"

"75588","1","0"

"75589","9","0"

"75590","74","14"

"7562","29","0"

"7564","27","2"

"7569","2","0"

"75704","8","1"

"75705","152","14"

"7571","3","0"

"75717","2","1"

"75723","12","6"

"75730","4","0"

"75735","4","1"

"75739","10","7"

"75741","28","18"

"75742","11","3"

"75751","18","0"

"75752","11","5"

"75756","4","0"

"75770","26","4"

"75772","6","4"

"75773","6","0"

"75777","11","0"

"75778","2","0"

"75780","15","0"

"75781","13","0"

"75807","19","4"

"75814","19","40"

"75815","69","15"

"75820","20","0"

"75822","15","7"

"75839","46","8"

"75840","12","0"

"75862","62","2"

"75863","83","38"

"75903","27","0"

"75907","20","1"

"76010","45","0"

"76011","17","0"

"76018","3","0"

"76053","13","2"

"76060","26","1"

"76086","7","0"

"76087","3","0"

"76088","5","0"

"76089","2","0"

"76095","46","2"
"76103","78","0"

"76106","38","0"

"7611","6","0"

"76151","54","0"

"76201","13","0"

"76207","7","0"

"76208","1","0"

"76221","65","56"

"76222","13","2"

"76236","3","0"

"76242","1","0"

"76247","14","0"

"76248","9","0"

"76250","264","31"

"7626","8","0"

"7627","6","0"

"76297","25","4"

"76301","4037","121"

"76302","1440","61"

"76314","54","10"

"76319","185","42"

"76332","8","3"

"76333","3","1"

"76334","24","0"

"76336","10","2"

"76351","575","18"

"76352","1336","40"

"76353","228","16"

"76414","1","2"

"76461","2559","144"

"76469","24","9"

"76474","24","5"

"76475","52","2"

"76476","28","4"

"76520","15","4"

"76523","21","1"

"76550","10","0"

"76551","15","0"

"76552","21","2"

"76553","11","0"

"76555","9","0"

"76558","4","1"

"76559","5","1"

"76561","3","0"

"5599","14","1"

"55991","6","1"

"55992","43","18"

"55996","2","2"

"55997","32","11"

"55998","5","0"

"5600","3","2"

"56090","3","0"

"56111","15","2"

"56112","2","1"

"56113","13","2"
"56114","16","6"

"56115","2","0"

"5613","18","1"

"56132","1","0"

"56133","6","0"

"56140","5","2"

"56142","12","3"

"56144","77","5"

"56145","10","0"

"56148","14","6"

"56149","42","9"

"56150","4","0"

"56157","20","2"

"56158","10","0"

"5617","2","0"

"5618","4","0"

"56208","8","0"

"5621","1","0"

"56220","16","2"

"56221","2","5"

"56232","10","1"

"56235","22","11"

"56237","18","2"

"56246","7","0"

"56247","1","0"

"56249","4","0"

"56256","205","58"

"56262","56","18"

"5629","4","0"

"56303","2","0"

"56344","30","7"

"56354","2","0"

"56360","33","0"

"56361","8","0"

"56362","11","0"

"56374","6","0"

"56375","7","0"

"56376","2","2"

"56377","4","2"

"56378","3","0"

"56379","2","2"

"56380","16","0"

"56381","5","0"

"56385","2","0"

"56388","3","0"

"56398","5","2"

"5640","5","0"

"56402","4","0"

"56416","12","6"

"56420","6","1"

"56421","12","0"

"56422","11","0"

"56423","23","0"

"56425","12","3"

"56427","26","25"
"56428","37","6"

"56450","4","7"

"56461","5","0"

"56516","71","14"

"56517","7","7"

"56521","5","0"

"56523","9","2"

"5654","10","0"

"5655","24","0"

"56557","22","0"

"56559","89","16"

"56576","1","0"

"56578","31","20"

"56579","56","15"

"5658","5","0"

"56580","41","15"

"56585","26","6"

"56586","38","16"

"5659","16","0"

"56606","10","1"

"56607","9","2"

"56608","7","0"

"56609","8","0"

"56610","4","0"

"5664","5","0"

"56653","14","3"

"56657","123","14"

"56665","2","0"

"56668","4","1"

"56809","1","0"

"56816","3","0"

"56904","13","1"

"57101","13","4"

"57102","5","2"

"57103","2","0"

"57104","8","0"

"57111","41","6"

"57112","43","0"

"57113","2","1"

"57200","44","7"

"57202","17","1"

"57204","6","4"

"5741","3","0"

"53398","5","2"

"53399","2","0"

"53451","30","3"

"5352","1","0"

"53554","9","2"

"5360","1","0"

"53600","2","0"

"53601","1","0"

"53602","2","0"

"5364","13","0"

"5365","19","0"

"5366","15","3"
"53661","13","0"

"53670","10","5"

"53671","12","2"

"5369","11","3"

"5370","16","0"

"5379","6","0"

"53806","4","0"

"5381","13","0"

"53812","9","1"

"53816","112","32"

"5382","9","0"

"53826","16","2"

"53827","3","0"

"53828","5","0"

"53829","4","0"

"53830","11","1"

"53831","78","1"

"53832","4","0"

"53833","2","4"

"53839","8","0"

"53841","4","0"

"5385","6","0"

"5390","18","6"

"5391","27","0"

"54002","3","0"

"54004","6","0"

"54005","62","19"

"54006","3","0"

"54013","4","2"

"54014","3","0"

"54016","2","0"

"54018","5","1"

"54024","4","0"

"54025","2","0"

"54031","34","3"

"54053","5","0"

"54055","6","0"

"54060","110","2"

"54154","159","69"

"54167","2","0"

"54172","5","0"

"54173","8","0"

"54270","2","0"

"54281","3","0"

"54282","10","0"

"54299","26","8"

"54317","35","14"

"54453","1","1"

"54456","143","1"

"54462","42","4"

"54469","186","8"

"5447","2","0"

"5448","5","0"

"5449","3","0"

"5452","6","0"
"54554","308","4"

"54560","297","17"

"54564","47","2"

"54566","118","3"

"5458","2","0"

"5459","3","0"

"5461","7","0"

"5462","13","0"

"54653","10","2"

"54654","11","1"

"54655","25","1"

"547","12","5"

"54708","11","0"

"54712","6","4"

"54765","8","0"

"54766","19","1"

"54767","34","6"

"54807","37","0"

"54859","4","0"

"54901","34","16"

"5491","4","0"

"5493","10","0"

"54964","237","65"

"5498","2","0"

"55000","5","0"

"55005","2","1"

"55006","7","0"

"55007","4","0"

"55016","7","0"

"55030","10","0"

"55039","24","0"

"5504","1","0"

"55042","7","0"

"55054","6","0"

"5517","1","0"

"55173","1","1"

"55184","1","0"

"5519","1","0"

"55205","4","0"

"55206","4","2"

"55213","13","1"

"55254","5","2"

"55266","18","0"

"55267","20","5"

"55268","10","2"

"55270","21","6"

"55271","9","0"

"55312","11","0"

"5535","2","0"

"55353","1","0"

"5536","11","0"

"55391","3","0"

"5541","42","8"

"55416","43","8"

"55417","9","0"
"55418","8","5"

"55419","5","0"

"5542","24","0"

"55421","4","2"

"55428","3","0"

"55429","79","29"

"55430","9","0"

"55431","78","34"

"55432","19","1"

"55451","19","5"

"55482","5","1"

"55486","16","5"

"55487","6","1"

"55488","88","21"

"55489","23","4"

"5550","13","6"

"55500","31","1"

"5551","6","0"

"5552","11","0"

"5553","7","0"

"55551","35","11"

"55558","4","0"

"55559","2","0"

"55587","2","0"

"55590","3","0"

"55605","6","0"

"55607","13","9"

"55609","4","0"

"5565","3","3"

"5568","1","0"

"5578","3","0"

"55801","2","1"

"55803","2","0"

"55804","9","0"

"55805","5","0"

"55810","2","0"

"55811","2","1"

"55813","14","7"

"55814","4","0"

"55815","1","0"

"55816","6","1"

"55817","2","0"

"55825","5","0"

"55826","129","21"

"55836","7","1"

"55837","2","0"

"5591","4","0"

"15758","81","12"

"15764","5","0"

"15778","2","0"

"15822","1","2"

"15826","1","0"

"15831","9","0"

"15842","11","0"

"15850","10","0"
"15852","2","0"

"15864","7","1"

"15865","3","0"

"15891","3","0"

"15892","1","0"

"15893","5","0"

"15907","20","14"

"15920","1","0"

"15922","6","5"

"15923","7","0"

"15924","65","11"

"15925","38","16"

"15928","25","12"

"15942","3","0"

"15943","10","0"

"15945","10","0"

"15946","14","10"

"15947","6","4"

"15948","5","1"

"15949","7","10"

"15951","29","6"

"15952","130","10"

"15959","99","31"

"15960","18","3"

"15962","43","4"

"15963","8","9"

"15964","12","1"

"15975","1","5"

"15976","1","5"

"15981","32","1"

"15982","12","0"

"15986","85","17"

"16005","5","0"

"16024","36","1"

"16029","13","1"

"16030","79","0"

"16031","2","2"

"16055","48","9"

"16087","7","0"

"16091","13","16"

"16101","12","0"

"16102","8","0"

"16119","2","0"

"16123","8","1"

"16124","4","0"

"16129","1","0"

"16138","46","11"

